ZEIT,RAUM,MERKMAL,WERT
31.12.2006,31 Aaseestadt,Deutsche mit vererbter Migrationsvorgeschichte,105
31.12.2006,31 Aaseestadt,Deutsche ohne erkennbare Migrationsvorgeschichte,4071
31.12.2006,32 Geist,Ausländer,541
31.12.2006,32 Geist,Deutsche mit persönlicher Migrationsvorgeschichte,687
31.12.2006,32 Geist,Deutsche mit vererbter Migrationsvorgeschichte,182
31.12.2006,32 Geist,Deutsche ohne erkennbare Migrationsvorgeschichte,7232
31.12.2006,33 Schützenhof,Ausländer,711
31.12.2006,33 Schützenhof,Deutsche mit persönlicher Migrationsvorgeschichte,662
31.12.2006,33 Schützenhof,Deutsche mit vererbter Migrationsvorgeschichte,188
31.12.2006,33 Schützenhof,Deutsche ohne erkennbare Migrationsvorgeschichte,5374
31.12.2006,34 Düesberg,Ausländer,278
31.12.2006,34 Düesberg,Deutsche mit persönlicher Migrationsvorgeschichte,504
31.12.2006,34 Düesberg,Deutsche mit vererbter Migrationsvorgeschichte,91
31.12.2006,34 Düesberg,Deutsche ohne erkennbare Migrationsvorgeschichte,5742
31.12.2006,43 Hafen,Ausländer,129
31.12.2006,43 Hafen,Deutsche mit persönlicher Migrationsvorgeschichte,41
31.12.2006,43 Hafen,Deutsche mit vererbter Migrationsvorgeschichte,6
31.12.2006,43 Hafen,Deutsche ohne erkennbare Migrationsvorgeschichte,748
31.12.2006,44 Herz-Jesu,Ausländer,369
31.12.2006,44 Herz-Jesu,Deutsche mit persönlicher Migrationsvorgeschichte,391
31.12.2006,44 Herz-Jesu,Deutsche mit vererbter Migrationsvorgeschichte,82
31.12.2006,44 Herz-Jesu,Deutsche ohne erkennbare Migrationsvorgeschichte,4280
31.12.2006,45 Mauritz-Mitte,Ausländer,425
31.12.2006,45 Mauritz-Mitte,Deutsche mit persönlicher Migrationsvorgeschichte,683
31.12.2006,45 Mauritz-Mitte,Deutsche mit vererbter Migrationsvorgeschichte,172
31.12.2006,45 Mauritz-Mitte,Deutsche ohne erkennbare Migrationsvorgeschichte,8481
31.12.2006,46 Rumphorst,Ausländer,468
31.12.2006,46 Rumphorst,Deutsche mit persönlicher Migrationsvorgeschichte,669
31.12.2006,46 Rumphorst,Deutsche mit vererbter Migrationsvorgeschichte,230
31.12.2006,46 Rumphorst,Deutsche ohne erkennbare Migrationsvorgeschichte,6623
31.12.2006,47 Uppenberg,Ausländer,637
31.12.2006,47 Uppenberg,Deutsche mit persönlicher Migrationsvorgeschichte,790
31.12.2006,47 Uppenberg,Deutsche mit vererbter Migrationsvorgeschichte,252
31.12.2006,47 Uppenberg,Deutsche ohne erkennbare Migrationsvorgeschichte,5604
31.12.2006,51 Gievenbeck,Ausländer,2515
31.12.2006,51 Gievenbeck,Deutsche mit persönlicher Migrationsvorgeschichte,2588
31.12.2006,51 Gievenbeck,Deutsche mit vererbter Migrationsvorgeschichte,979
31.12.2006,51 Gievenbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,12403
31.12.2006,52 Sentrup,Ausländer,526
31.12.2006,52 Sentrup,Deutsche mit persönlicher Migrationsvorgeschichte,417
31.12.2006,52 Sentrup,Deutsche mit vererbter Migrationsvorgeschichte,112
31.12.2006,52 Sentrup,Deutsche ohne erkennbare Migrationsvorgeschichte,5333
31.12.2006,54 Mecklenbeck,Ausländer,607
31.12.2006,54 Mecklenbeck,Deutsche mit persönlicher Migrationsvorgeschichte,1062
31.12.2006,54 Mecklenbeck,Deutsche mit vererbter Migrationsvorgeschichte,317
31.12.2006,54 Mecklenbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,7291
31.12.2006,56 Albachten,Ausländer,314
31.12.2006,56 Albachten,Deutsche mit persönlicher Migrationsvorgeschichte,618
31.12.2006,56 Albachten,Deutsche mit vererbter Migrationsvorgeschichte,213
31.12.2006,56 Albachten,Deutsche ohne erkennbare Migrationsvorgeschichte,4157
31.12.2006,57 Roxel,Ausländer,496
31.12.2006,57 Roxel,Deutsche mit persönlicher Migrationsvorgeschichte,598
31.12.2006,57 Roxel,Deutsche mit vererbter Migrationsvorgeschichte,215
31.12.2006,57 Roxel,Deutsche ohne erkennbare Migrationsvorgeschichte,6651
31.12.2006,58 Nienberge,Ausländer,302
31.12.2006,58 Nienberge,Deutsche mit persönlicher Migrationsvorgeschichte,470
31.12.2006,58 Nienberge,Deutsche mit vererbter Migrationsvorgeschichte,135
31.12.2006,58 Nienberge,Deutsche ohne erkennbare Migrationsvorgeschichte,5593
31.12.2006,61 Coerde,Ausländer,1461
31.12.2006,61 Coerde,Deutsche mit persönlicher Migrationsvorgeschichte,2415
31.12.2006,61 Coerde,Deutsche mit vererbter Migrationsvorgeschichte,775
31.12.2006,61 Coerde,Deutsche ohne erkennbare Migrationsvorgeschichte,5267
31.12.2006,62 Kinderhaus-Ost,Ausländer,361
31.12.2006,62 Kinderhaus-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,667
31.12.2006,62 Kinderhaus-Ost,Deutsche mit vererbter Migrationsvorgeschichte,187
31.12.2006,62 Kinderhaus-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,3800
31.12.2006,63 Kinderhaus-West,Ausländer,1437
31.12.2006,63 Kinderhaus-West,Deutsche mit persönlicher Migrationsvorgeschichte,2083
31.12.2006,63 Kinderhaus-West,Deutsche mit vererbter Migrationsvorgeschichte,626
31.12.2006,63 Kinderhaus-West,Deutsche ohne erkennbare Migrationsvorgeschichte,6547
31.12.2006,68 Sprakel,Ausländer,91
31.12.2006,68 Sprakel,Deutsche mit persönlicher Migrationsvorgeschichte,191
31.12.2006,68 Sprakel,Deutsche mit vererbter Migrationsvorgeschichte,60
31.12.2006,68 Sprakel,Deutsche ohne erkennbare Migrationsvorgeschichte,2498
31.12.2006,71 Mauritz-Ost,Ausländer,510
31.12.2006,71 Mauritz-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,682
31.12.2006,71 Mauritz-Ost,Deutsche mit vererbter Migrationsvorgeschichte,156
31.12.2006,71 Mauritz-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,8468
31.12.2006,76 Gelmer-Dyckburg,Ausländer,149
31.12.2006,76 Gelmer-Dyckburg,Deutsche mit persönlicher Migrationsvorgeschichte,195
31.12.2006,76 Gelmer-Dyckburg,Deutsche mit vererbter Migrationsvorgeschichte,75
31.12.2006,76 Gelmer-Dyckburg,Deutsche ohne erkennbare Migrationsvorgeschichte,2994
31.12.2006,77 Handorf,Ausländer,286
31.12.2006,77 Handorf,Deutsche mit persönlicher Migrationsvorgeschichte,614
31.12.2006,77 Handorf,Deutsche mit vererbter Migrationsvorgeschichte,146
31.12.2006,77 Handorf,Deutsche ohne erkennbare Migrationsvorgeschichte,6198
31.12.2006,81 Gremmendorf-West,Ausländer,286
31.12.2006,81 Gremmendorf-West,Deutsche mit persönlicher Migrationsvorgeschichte,618
31.12.2006,81 Gremmendorf-West,Deutsche mit vererbter Migrationsvorgeschichte,257
31.12.2006,81 Gremmendorf-West,Deutsche ohne erkennbare Migrationsvorgeschichte,3656
31.12.2006,82 Gremmendorf-Ost,Ausländer,267
31.12.2006,82 Gremmendorf-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,498
31.12.2006,82 Gremmendorf-Ost,Deutsche mit vererbter Migrationsvorgeschichte,190
31.12.2006,82 Gremmendorf-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,5228
31.12.2006,86 Angelmodde,Ausländer,631
31.12.2006,86 Angelmodde,Deutsche mit persönlicher Migrationsvorgeschichte,1063
31.12.2006,86 Angelmodde,Deutsche mit vererbter Migrationsvorgeschichte,352
31.12.2006,86 Angelmodde,Deutsche ohne erkennbare Migrationsvorgeschichte,5505
31.12.2006,87 Wolbeck,Ausländer,340
31.12.2006,87 Wolbeck,Deutsche mit persönlicher Migrationsvorgeschichte,587
31.12.2006,87 Wolbeck,Deutsche mit vererbter Migrationsvorgeschichte,192
31.12.2006,87 Wolbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,7510
31.12.2006,91 Berg Fidel,Ausländer,865
31.12.2006,91 Berg Fidel,Deutsche mit persönlicher Migrationsvorgeschichte,1356
31.12.2006,91 Berg Fidel,Deutsche mit vererbter Migrationsvorgeschichte,368
31.12.2006,91 Berg Fidel,Deutsche ohne erkennbare Migrationsvorgeschichte,3084
31.12.2006,95 Hiltrup-Ost,Ausländer,337
31.12.2006,95 Hiltrup-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,696
31.12.2006,95 Hiltrup-Ost,Deutsche mit vererbter Migrationsvorgeschichte,183
31.12.2006,95 Hiltrup-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,5586
31.12.2006,96 Hiltrup-Mitte,Ausländer,744
31.12.2006,96 Hiltrup-Mitte,Deutsche mit persönlicher Migrationsvorgeschichte,972
31.12.2006,96 Hiltrup-Mitte,Deutsche mit vererbter Migrationsvorgeschichte,305
31.12.2006,96 Hiltrup-Mitte,Deutsche ohne erkennbare Migrationsvorgeschichte,7759
31.12.2006,97 Hiltrup-West,Ausländer,670
31.12.2006,97 Hiltrup-West,Deutsche mit persönlicher Migrationsvorgeschichte,1095
31.12.2006,97 Hiltrup-West,Deutsche mit vererbter Migrationsvorgeschichte,424
31.12.2006,97 Hiltrup-West,Deutsche ohne erkennbare Migrationsvorgeschichte,6696
31.12.2006,98 Amelsbüren,Ausländer,246
31.12.2006,98 Amelsbüren,Deutsche mit persönlicher Migrationsvorgeschichte,525
31.12.2006,98 Amelsbüren,Deutsche mit vererbter Migrationsvorgeschichte,204
31.12.2006,98 Amelsbüren,Deutsche ohne erkennbare Migrationsvorgeschichte,4645
31.12.2007,11 Aegidii,Ausländer,91
31.12.2007,11 Aegidii,Deutsche mit persönlicher Migrationsvorgeschichte,96
31.12.2007,11 Aegidii,Deutsche mit vererbter Migrationsvorgeschichte,20
31.12.2007,11 Aegidii,Deutsche ohne erkennbare Migrationsvorgeschichte,1128
31.12.2007,12 Überwasser,Ausländer,134
31.12.2007,12 Überwasser,Deutsche mit persönlicher Migrationsvorgeschichte,92
31.12.2007,12 Überwasser,Deutsche mit vererbter Migrationsvorgeschichte,14
31.12.2007,12 Überwasser,Deutsche ohne erkennbare Migrationsvorgeschichte,1050
31.12.2007,13 Dom,Ausländer,161
31.12.2007,13 Dom,Deutsche mit persönlicher Migrationsvorgeschichte,140
31.12.2007,13 Dom,Deutsche mit vererbter Migrationsvorgeschichte,16
31.12.2007,13 Dom,Deutsche ohne erkennbare Migrationsvorgeschichte,1734
31.12.2007,14 Buddenturm,Ausländer,162
31.12.2007,14 Buddenturm,Deutsche mit persönlicher Migrationsvorgeschichte,147
31.12.2007,14 Buddenturm,Deutsche mit vererbter Migrationsvorgeschichte,29
31.12.2007,14 Buddenturm,Deutsche ohne erkennbare Migrationsvorgeschichte,1863
31.12.2007,15 Martini,Ausländer,118
31.12.2007,15 Martini,Deutsche mit persönlicher Migrationsvorgeschichte,72
31.12.2007,15 Martini,Deutsche mit vererbter Migrationsvorgeschichte,11
31.12.2007,15 Martini,Deutsche ohne erkennbare Migrationsvorgeschichte,1048
31.12.2007,21 Pluggendorf,Ausländer,271
31.12.2007,21 Pluggendorf,Deutsche mit persönlicher Migrationsvorgeschichte,284
31.12.2007,21 Pluggendorf,Deutsche mit vererbter Migrationsvorgeschichte,23
31.12.2007,21 Pluggendorf,Deutsche ohne erkennbare Migrationsvorgeschichte,3215
31.12.2007,22 Josef,Ausländer,589
31.12.2007,22 Josef,Deutsche mit persönlicher Migrationsvorgeschichte,445
31.12.2007,22 Josef,Deutsche mit vererbter Migrationsvorgeschichte,73
31.12.2007,22 Josef,Deutsche ohne erkennbare Migrationsvorgeschichte,6756
31.12.2007,23 Bahnhof,Ausländer,87
31.12.2007,23 Bahnhof,Deutsche mit persönlicher Migrationsvorgeschichte,86
31.12.2007,23 Bahnhof,Deutsche mit vererbter Migrationsvorgeschichte,5
31.12.2007,23 Bahnhof,Deutsche ohne erkennbare Migrationsvorgeschichte,828
31.12.2007,24 Hansaplatz,Ausländer,418
31.12.2007,24 Hansaplatz,Deutsche mit persönlicher Migrationsvorgeschichte,393
31.12.2007,24 Hansaplatz,Deutsche mit vererbter Migrationsvorgeschichte,100
31.12.2007,24 Hansaplatz,Deutsche ohne erkennbare Migrationsvorgeschichte,5411
31.12.2007,25 Mauritz-West,Ausländer,314
31.12.2007,25 Mauritz-West,Deutsche mit persönlicher Migrationsvorgeschichte,284
31.12.2007,25 Mauritz-West,Deutsche mit vererbter Migrationsvorgeschichte,60
31.12.2007,25 Mauritz-West,Deutsche ohne erkennbare Migrationsvorgeschichte,4953
31.12.2007,26 Schlachthof,Ausländer,281
31.12.2007,26 Schlachthof,Deutsche mit persönlicher Migrationsvorgeschichte,449
31.12.2007,26 Schlachthof,Deutsche mit vererbter Migrationsvorgeschichte,184
31.12.2007,26 Schlachthof,Deutsche ohne erkennbare Migrationsvorgeschichte,3885
31.12.2007,27 Kreuz,Ausländer,497
31.12.2007,27 Kreuz,Deutsche mit persönlicher Migrationsvorgeschichte,597
31.12.2007,27 Kreuz,Deutsche mit vererbter Migrationsvorgeschichte,131
31.12.2007,27 Kreuz,Deutsche ohne erkennbare Migrationsvorgeschichte,10386
31.12.2007,28 Neutor,Ausländer,451
31.12.2007,28 Neutor,Deutsche mit persönlicher Migrationsvorgeschichte,266
31.12.2007,28 Neutor,Deutsche mit vererbter Migrationsvorgeschichte,61
31.12.2007,28 Neutor,Deutsche ohne erkennbare Migrationsvorgeschichte,3022
31.12.2007,29 Schloss,Ausländer,160
31.12.2007,29 Schloss,Deutsche mit persönlicher Migrationsvorgeschichte,110
31.12.2007,29 Schloss,Deutsche mit vererbter Migrationsvorgeschichte,21
31.12.2007,29 Schloss,Deutsche ohne erkennbare Migrationsvorgeschichte,1593
31.12.2007,31 Aaseestadt,Ausländer,537
31.12.2007,31 Aaseestadt,Deutsche mit persönlicher Migrationsvorgeschichte,620
31.12.2007,31 Aaseestadt,Deutsche mit vererbter Migrationsvorgeschichte,121
31.12.2007,31 Aaseestadt,Deutsche ohne erkennbare Migrationsvorgeschichte,4076
31.12.2007,32 Geist,Ausländer,551
31.12.2007,32 Geist,Deutsche mit persönlicher Migrationsvorgeschichte,698
31.12.2007,32 Geist,Deutsche mit vererbter Migrationsvorgeschichte,192
31.12.2007,32 Geist,Deutsche ohne erkennbare Migrationsvorgeschichte,7200
31.12.2007,33 Schützenhof,Ausländer,760
31.12.2007,33 Schützenhof,Deutsche mit persönlicher Migrationsvorgeschichte,653
31.12.2007,33 Schützenhof,Deutsche mit vererbter Migrationsvorgeschichte,185
31.12.2007,33 Schützenhof,Deutsche ohne erkennbare Migrationsvorgeschichte,5361
31.12.2007,34 Düesberg,Ausländer,280
31.12.2007,34 Düesberg,Deutsche mit persönlicher Migrationsvorgeschichte,507
31.12.2007,34 Düesberg,Deutsche mit vererbter Migrationsvorgeschichte,100
31.12.2007,34 Düesberg,Deutsche ohne erkennbare Migrationsvorgeschichte,5745
31.12.2007,43 Hafen,Ausländer,128
31.12.2007,43 Hafen,Deutsche mit persönlicher Migrationsvorgeschichte,35
31.12.2007,43 Hafen,Deutsche mit vererbter Migrationsvorgeschichte,8
31.12.2007,43 Hafen,Deutsche ohne erkennbare Migrationsvorgeschichte,735
31.12.2007,44 Herz-Jesu,Ausländer,341
31.12.2007,44 Herz-Jesu,Deutsche mit persönlicher Migrationsvorgeschichte,394
31.12.2007,44 Herz-Jesu,Deutsche mit vererbter Migrationsvorgeschichte,86
31.12.2007,44 Herz-Jesu,Deutsche ohne erkennbare Migrationsvorgeschichte,4361
31.12.2007,45 Mauritz-Mitte,Ausländer,424
31.12.2007,45 Mauritz-Mitte,Deutsche mit persönlicher Migrationsvorgeschichte,662
31.12.2007,45 Mauritz-Mitte,Deutsche mit vererbter Migrationsvorgeschichte,161
31.12.2007,45 Mauritz-Mitte,Deutsche ohne erkennbare Migrationsvorgeschichte,8488
31.12.2007,46 Rumphorst,Ausländer,429
31.12.2007,46 Rumphorst,Deutsche mit persönlicher Migrationsvorgeschichte,666
31.12.2007,46 Rumphorst,Deutsche mit vererbter Migrationsvorgeschichte,224
31.12.2007,46 Rumphorst,Deutsche ohne erkennbare Migrationsvorgeschichte,6570
31.12.2007,47 Uppenberg,Ausländer,666
31.12.2007,47 Uppenberg,Deutsche mit persönlicher Migrationsvorgeschichte,785
31.12.2007,47 Uppenberg,Deutsche mit vererbter Migrationsvorgeschichte,275
31.12.2007,47 Uppenberg,Deutsche ohne erkennbare Migrationsvorgeschichte,5637
31.12.2007,51 Gievenbeck,Ausländer,2557
31.12.2007,51 Gievenbeck,Deutsche mit persönlicher Migrationsvorgeschichte,2629
31.12.2007,51 Gievenbeck,Deutsche mit vererbter Migrationsvorgeschichte,1024
31.12.2007,51 Gievenbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,12552
31.12.2007,52 Sentrup,Ausländer,530
31.12.2007,52 Sentrup,Deutsche mit persönlicher Migrationsvorgeschichte,418
31.12.2007,52 Sentrup,Deutsche mit vererbter Migrationsvorgeschichte,124
31.12.2007,52 Sentrup,Deutsche ohne erkennbare Migrationsvorgeschichte,5188
31.12.2007,54 Mecklenbeck,Ausländer,581
31.12.2007,54 Mecklenbeck,Deutsche mit persönlicher Migrationsvorgeschichte,1044
31.12.2007,54 Mecklenbeck,Deutsche mit vererbter Migrationsvorgeschichte,316
31.12.2007,54 Mecklenbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,7257
31.12.2007,56 Albachten,Ausländer,301
31.12.2007,56 Albachten,Deutsche mit persönlicher Migrationsvorgeschichte,633
31.12.2007,56 Albachten,Deutsche mit vererbter Migrationsvorgeschichte,241
31.12.2007,56 Albachten,Deutsche ohne erkennbare Migrationsvorgeschichte,4236
31.12.2007,57 Roxel,Ausländer,539
31.12.2007,57 Roxel,Deutsche mit persönlicher Migrationsvorgeschichte,642
31.12.2007,57 Roxel,Deutsche mit vererbter Migrationsvorgeschichte,273
31.12.2007,57 Roxel,Deutsche ohne erkennbare Migrationsvorgeschichte,6652
31.12.2007,58 Nienberge,Ausländer,284
31.12.2007,58 Nienberge,Deutsche mit persönlicher Migrationsvorgeschichte,473
31.12.2007,58 Nienberge,Deutsche mit vererbter Migrationsvorgeschichte,129
31.12.2007,58 Nienberge,Deutsche ohne erkennbare Migrationsvorgeschichte,5555
31.12.2007,61 Coerde,Ausländer,1428
31.12.2007,61 Coerde,Deutsche mit persönlicher Migrationsvorgeschichte,2442
31.12.2007,61 Coerde,Deutsche mit vererbter Migrationsvorgeschichte,836
31.12.2007,61 Coerde,Deutsche ohne erkennbare Migrationsvorgeschichte,5272
31.12.2007,62 Kinderhaus-Ost,Ausländer,389
31.12.2007,62 Kinderhaus-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,635
31.12.2007,62 Kinderhaus-Ost,Deutsche mit vererbter Migrationsvorgeschichte,190
31.12.2007,62 Kinderhaus-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,3769
31.12.2007,63 Kinderhaus-West,Ausländer,1321
31.12.2007,63 Kinderhaus-West,Deutsche mit persönlicher Migrationsvorgeschichte,2021
31.12.2007,63 Kinderhaus-West,Deutsche mit vererbter Migrationsvorgeschichte,636
31.12.2007,63 Kinderhaus-West,Deutsche ohne erkennbare Migrationsvorgeschichte,6442
31.12.2007,68 Sprakel,Ausländer,107
31.12.2007,68 Sprakel,Deutsche mit persönlicher Migrationsvorgeschichte,199
31.12.2007,68 Sprakel,Deutsche mit vererbter Migrationsvorgeschichte,66
31.12.2007,68 Sprakel,Deutsche ohne erkennbare Migrationsvorgeschichte,2493
31.12.2007,71 Mauritz-Ost,Ausländer,509
31.12.2007,71 Mauritz-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,670
31.12.2007,71 Mauritz-Ost,Deutsche mit vererbter Migrationsvorgeschichte,174
31.12.2007,71 Mauritz-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,8513
31.12.2007,76 Gelmer-Dyckburg,Ausländer,135
31.12.2007,76 Gelmer-Dyckburg,Deutsche mit persönlicher Migrationsvorgeschichte,195
31.12.2007,76 Gelmer-Dyckburg,Deutsche mit vererbter Migrationsvorgeschichte,71
31.12.2007,76 Gelmer-Dyckburg,Deutsche ohne erkennbare Migrationsvorgeschichte,3005
31.12.2007,77 Handorf,Ausländer,293
31.12.2007,77 Handorf,Deutsche mit persönlicher Migrationsvorgeschichte,607
31.12.2007,77 Handorf,Deutsche mit vererbter Migrationsvorgeschichte,167
31.12.2007,77 Handorf,Deutsche ohne erkennbare Migrationsvorgeschichte,6261
31.12.2007,81 Gremmendorf-West,Ausländer,290
31.12.2007,81 Gremmendorf-West,Deutsche mit persönlicher Migrationsvorgeschichte,609
31.12.2007,81 Gremmendorf-West,Deutsche mit vererbter Migrationsvorgeschichte,248
31.12.2007,81 Gremmendorf-West,Deutsche ohne erkennbare Migrationsvorgeschichte,3592
31.12.2007,82 Gremmendorf-Ost,Ausländer,292
31.12.2007,82 Gremmendorf-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,481
31.12.2007,82 Gremmendorf-Ost,Deutsche mit vererbter Migrationsvorgeschichte,194
31.12.2007,82 Gremmendorf-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,5232
31.12.2007,86 Angelmodde,Ausländer,631
31.12.2007,86 Angelmodde,Deutsche mit persönlicher Migrationsvorgeschichte,1045
31.12.2007,86 Angelmodde,Deutsche mit vererbter Migrationsvorgeschichte,371
31.12.2007,86 Angelmodde,Deutsche ohne erkennbare Migrationsvorgeschichte,5448
31.12.2007,87 Wolbeck,Ausländer,352
31.12.2007,87 Wolbeck,Deutsche mit persönlicher Migrationsvorgeschichte,604
31.12.2007,87 Wolbeck,Deutsche mit vererbter Migrationsvorgeschichte,190
31.12.2007,87 Wolbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,7454
31.12.2007,91 Berg Fidel,Ausländer,867
31.12.2007,91 Berg Fidel,Deutsche mit persönlicher Migrationsvorgeschichte,1361
31.12.2007,91 Berg Fidel,Deutsche mit vererbter Migrationsvorgeschichte,359
31.12.2007,91 Berg Fidel,Deutsche ohne erkennbare Migrationsvorgeschichte,3068
31.12.2007,95 Hiltrup-Ost,Ausländer,290
31.12.2007,95 Hiltrup-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,681
31.12.2007,95 Hiltrup-Ost,Deutsche mit vererbter Migrationsvorgeschichte,196
31.12.2007,95 Hiltrup-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,5504
31.12.2007,96 Hiltrup-Mitte,Ausländer,715
31.12.2007,96 Hiltrup-Mitte,Deutsche mit persönlicher Migrationsvorgeschichte,971
31.12.2007,96 Hiltrup-Mitte,Deutsche mit vererbter Migrationsvorgeschichte,327
31.12.2007,96 Hiltrup-Mitte,Deutsche ohne erkennbare Migrationsvorgeschichte,7721
31.12.2007,97 Hiltrup-West,Ausländer,681
31.12.2007,97 Hiltrup-West,Deutsche mit persönlicher Migrationsvorgeschichte,1105
31.12.2007,97 Hiltrup-West,Deutsche mit vererbter Migrationsvorgeschichte,463
31.12.2007,97 Hiltrup-West,Deutsche ohne erkennbare Migrationsvorgeschichte,6598
31.12.2007,98 Amelsbüren,Ausländer,253
31.12.2007,98 Amelsbüren,Deutsche mit persönlicher Migrationsvorgeschichte,558
31.12.2007,98 Amelsbüren,Deutsche mit vererbter Migrationsvorgeschichte,223
